Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,part_of_day
1900-01-01 04:00:00,Friday,18-30,Male,Secondary education,Employee,2-5yr,Car,Owner,Old Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 15:45:00,Friday,31-50,Male,Secondary education,Employee,2-5yr,Large Truck,Governmental,Moderate Vehicle,Other,One way,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,2,Moving backward,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 13:00:00,Sunday,18-30,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,One way,Flat Road,Other,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Other,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 13:45:00,Thursday,18-30,Male,Secondary education,Employee,Below 1yr,Car,Owner,Moderate Vehicle,Recreational areas,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Moving forward,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 21:09:00,Wednesday,31-50,Male,Secondary education,Employee,2-5yr,Car,Organization,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Dry,Moderate lighting,Clear,Rollover,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Violation,Malam
1900-01-01 19:35:00,Thursday,Under 18,Male,Secondary education,Employee,1-2yr,Medium Truck,Owner,New Vehicle,Other,other,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Other,3,4,Moving forward,Driver or rider,Male,18-30,na,Other,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 20:45:00,Thursday,Under 18,Male,Primary education,Employee,5-10yr,Large Truck,Owner,New Vehicle,Commercial areas,Undivided Two way,Other,Crossing,Asphalt,Wet or damp,Moderate lighting,Rainy,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Other,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 15:30:00,Friday,18-30,Male,Secondary education,Employee,Above 10yr,Medium Bus,Owner,Moderate Vehicle,Other,Undivided Two way,Flat Road,No junction,Asphalt,Wet or damp,Good lighting,Rainy,Vehicle with vehicle collision,2,2,Moving forward,Passenger,Female,18-30,3,Other,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 16:20:00,Thursday,Over 51,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Pedestrian,Male,Over 51,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Human Error,Sore
1900-01-01 12:35:00,Monday,18-30,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,Other,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,5,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 17:46:00,Thursday,Over 51,Male,Secondary education,Employee,2-5yr,Car,Owner,Old Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving backward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 12:10:00,Friday,18-30,Male,Secondary education,Employee,5-10yr,Small Bus,Owner,Moderate Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 07:10:00,Friday,18-30,Male,Secondary education,Owner,5-10yr,Car,Owner,Moderate Vehicle,Public service areas,Undivided Two way,Flat Road,Y Shape,Other,Dry,Good lighting,Clear,Collision with pedestrians,2,1,Junction movement,Driver or rider,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 02:09:00,Friday,31-50,Male,Secondary education,Employee,5-10yr,Car,Owner,New Vehicle,Commercial areas,Undivided Two way,Flat Road,Crossing,Earth roads,Dry,Moderate lighting,Clear,Collision with roadside-parked vehicles,2,1,Moving forward,Driver or rider,Male,31-50,2,Self-employed,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 02:30:00,Sunday,18-30,Female,Secondary education,Employee,5-10yr,Car,Owner,Old Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Earth roads,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,1,1,Moving backward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,External Factors,Malam
1900-01-01 13:30:00,Friday,Under 18,Male,Secondary education,Employee,2-5yr,Large Truck,Governmental,New Vehicle,Residential areas,other,Steep Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Junction movement,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 16:15:00,Friday,31-50,Male,Secondary education,Owner,5-10yr,Large Truck,Governmental,Moderate Vehicle,Other,Two-way (divided with solid lines road marking),Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,2,Moving forward,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 11:20:00,Wednesday,18-30,Male,Secondary education,Owner,5-10yr,Small Truck,Owner,Moderate Vehicle,Recreational areas,Undivided Two way,Flat Road,No junction,Asphalt,Wet or damp,Good lighting,Clear,Collision with pedestrians,2,2,Moving forward,Pedestrian,Female,Under 18,3,Driver,Normal,Unknown or other,Human Error,Siang
1900-01-01 19:57:00,Friday,18-30,Male,Secondary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,3,2,Junction movement,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 23:40:00,Tuesday,18-30,Female,Secondary education,Owner,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Wet or damp,Moderate lighting,Rainy,Vehicle with vehicle collision,3,1,Stopping,Driver or rider,Male,18-30,na,Employee,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 21:00:00,Friday,31-50,Male,Secondary education,Employee,2-5yr,Medium Truck,Owner,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Dry,Moderate lighting,Clear,Collision with roadside objects,4,1,Stopping,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 11:55:00,Friday,31-50,Male,Secondary education,Employee,Below 1yr,Car,Governmental,Moderate Vehicle,Other,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,2,Moving forward,Pedestrian,Male,18-30,2,Self-employed,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Human Error,Siang
1900-01-01 07:15:00,Wednesday,18-30,Female,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 15:00:00,Saturday,31-50,Male,Secondary education,Employee,5-10yr,Large Bus,Owner,Moderate Vehicle,Recreational areas,One way,Flat Road,No junction,Asphalt,Dry,Good lighting,Other,Vehicle with vehicle collision,2,1,Moving backward,Driver or rider,Male,18-30,na,Other,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 08:49:00,Monday,31-50,Male,Higher education,Employee,1-2yr,Medium Bus,Owner,Moderate Vehicle,Other,Undivided Two way,Flat Road,Y Shape,Asphalt,Wet or damp,Good lighting,Clear,Vehicle with vehicle collision,2,3,Moving forward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 00:25:00,Sunday,31-50,Male,Secondary education,Employee,Below 1yr,Medium Bus,Governmental,New Vehicle,Other,Undivided Two way,Flat Road,Crossing,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,2,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 12:52:00,Wednesday,Over 51,Male,Primary education,Employee,2-5yr,Large Truck,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Turnover,Pedestrian,Male,18-30,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Human Error,Siang
1900-01-01 08:08:00,Tuesday,18-30,Male,Primary education,Employee,5-10yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Driver or rider,Male,18-30,na,Employee,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 11:30:00,Tuesday,18-30,Male,Secondary education,Employee,1-2yr,Car,Owner,Moderate Vehicle,Public service areas,Double carriageway (median),Flat Road,Y Shape,Asphalt,Wet or damp,Good lighting,Rainy,Vehicle with vehicle collision,2,2,Moving backward,Driver or rider,Male,18-30,na,Other,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 13:17:00,Friday,18-30,Male,Secondary education,Owner,Above 10yr,Car,Owner,Old Vehicle,Commercial areas,Undivided Two way,Flat Road,No junction,Asphalt,Wet or damp,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 07:26:00,Thursday,31-50,Male,Primary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Moving forward,Pedestrian,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 11:10:00,Sunday,18-30,Male,Secondary education,Owner,Above 10yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,No junction,Asphalt,Wet or damp,Good lighting,Rainy,Vehicle with vehicle collision,3,1,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,External Factors,Siang
1900-01-01 11:44:00,Sunday,31-50,Male,Primary education,Other,5-10yr,Medium Bus,Owner,Moderate Vehicle,Other,Undivided Two way,Flat Road,O Shape,Asphalt,Wet or damp,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 22:16:00,Wednesday,Over 51,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Residential areas,One way,Flat Road,No junction,Asphalt,Wet or damp,Moderate lighting,Clear,Vehicle with vehicle collision,3,1,Other,Pedestrian,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 05:49:00,Tuesday,18-30,Male,Secondary education,Employee,Below 1yr,Two-Wheeler,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,No junction,Asphalt,Wet or damp,Good lighting,Rainy,Vehicle with vehicle collision,2,2,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 10:30:00,Monday,31-50,Male,Secondary education,Employee,2-5yr,Large Truck,Owner,Moderate Vehicle,Public service areas,Undivided Two way,Flat Road,Other,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving backward,Pedestrian,Female,18-30,3,Driver,Normal,Not a Pedestrian,Vehicle Issues,Pagi
1900-01-01 22:25:00,Friday,18-30,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Other,Undivided Two way,Flat Road,Y Shape,Asphalt,Wet or damp,Moderate lighting,Rainy,Vehicle with vehicle collision,2,4,Moving backward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 17:30:00,Tuesday,18-30,Male,Secondary education,Owner,2-5yr,Car,Owner,New Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,External Factors,Sore
1900-01-01 18:20:00,Sunday,18-30,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 13:31:00,Sunday,31-50,Male,Secondary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Collision with pedestrians,2,2,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 17:45:00,Wednesday,18-30,Female,Primary education,Employee,5-10yr,Car,Owner,New Vehicle,Other,other,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with animals,3,1,Moving forward,Driver or rider,Male,18-30,3,Other,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 11:50:00,Monday,31-50,Male,Primary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,3,Stopping,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Violation,Siang
1900-01-01 18:00:00,Saturday,18-30,Male,Secondary education,Employee,1-2yr,Special Vehicle,Owner,Moderate Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 18:06:00,Saturday,31-50,Male,Secondary education,Owner,Below 1yr,Small Bus,Owner,Old Vehicle,Other,other,Steep Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Turnover,Passenger,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 18:36:00,Monday,18-30,Male,Secondary education,Employee,2-5yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Other,2,7,Stopping,Passenger,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 17:35:00,Saturday,Over 51,Male,Secondary education,Employee,Below 1yr,Car,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Wet or damp,Moderate lighting,Rainy,Vehicle with vehicle collision,2,2,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 07:16:00,Friday,31-50,Male,Primary education,Employee,5-10yr,Special Vehicle,Owner,Moderate Vehicle,Residential areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 08:49:00,Monday,31-50,Male,Secondary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Other,One way,Flat Road,Y Shape,Asphalt,Wet or damp,Good lighting,Clear,Vehicle with vehicle collision,2,3,Moving backward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 14:10:00,Wednesday,Over 51,Female,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Residential areas,Undivided Two way,Flat Road,Crossing,Asphalt,Dry,Moderate lighting,Clear,Collision with roadside objects,2,1,Moving forward,Driver or rider,Male,18-30,3,Employee,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 09:34:00,Wednesday,31-50,Male,Secondary education,Employee,2-5yr,Small Bus,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,1,Other,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Violation,Pagi
1900-01-01 15:23:00,Wednesday,Over 51,Male,Primary education,Employee,Below 1yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Employee,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 15:45:00,Monday,18-30,Male,Secondary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Commercial areas,other,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 08:20:00,Tuesday,Under 18,Male,Secondary education,Employee,2-5yr,Large Truck,Owner,Moderate Vehicle,Other,One way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with animals,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,External Factors,Pagi
1900-01-01 08:15:00,Friday,18-30,Male,Secondary education,Owner,5-10yr,Car,Owner,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Wet or damp,Good lighting,Clear,Vehicle with vehicle collision,2,2,Moving forward,Passenger,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 14:59:00,Wednesday,Under 18,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Residential areas,Undivided Two way,Flat Road,Other,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,2,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 14:57:00,Friday,18-30,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Wet or damp,Good lighting,Clear,Vehicle with vehicle collision,2,3,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 13:45:00,Sunday,18-30,Male,Secondary education,Employee,2-5yr,Large Truck,Owner,Moderate Vehicle,Public service areas,Double carriageway (median),Flat Road,No junction,Asphalt,Wet or damp,Good lighting,Snowy,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 11:31:00,Monday,18-30,Male,Secondary education,Employee,2-5yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Hilly Road,Y Shape,Asphalt,Wet or damp,Good lighting,Clear,Collision with roadside objects,3,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 17:15:00,Tuesday,18-30,Male,Secondary education,Employee,5-10yr,Special Vehicle,Owner,Moderate Vehicle,Commercial areas,Double carriageway (median),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with pedestrians,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 06:15:00,Monday,18-30,Female,Secondary education,Employee,2-5yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,1,Moving forward,Passenger,Male,Over 51,3,Employee,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 15:20:00,Saturday,31-50,Male,Primary education,Employee,5-10yr,Medium Truck,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Hilly Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,2,Moving forward,Driver or rider,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 09:13:00,Friday,Over 51,Male,Secondary education,Employee,1-2yr,Car,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with pedestrians,2,1,Moving forward,Driver or rider,Female,Over 51,3,Driver,Deaf,Not a Pedestrian,Human Error,Pagi
1900-01-01 16:59:00,Friday,Under 18,Male,Primary education,Employee,2-5yr,Small Truck,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Rollover,2,1,Moving forward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 14:45:00,Saturday,Over 51,Male,Primary education,Employee,Above 10yr,Large Truck,Owner,Old Vehicle,Residential areas,other,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 16:05:00,Monday,31-50,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with pedestrians,3,1,Junction movement,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Vehicle Issues,Sore
1900-01-01 15:27:00,Monday,31-50,Male,Secondary education,Employee,2-5yr,Car,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving backward,Driver or rider,Male,18-30,na,Other,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 03:15:00,Saturday,18-30,Male,Secondary education,Other,No Licence,Small Truck,Governmental,Moderate Vehicle,Other,Double carriageway (median),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,2,Moving forward,Driver or rider,Male,31-50,2,Self-employed,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 20:30:00,Saturday,18-30,Male,Secondary education,Employee,5-10yr,Car,Owner,Old Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,4,3,Moving backward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 01:35:00,Sunday,Over 51,Male,Primary education,Employee,1-2yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Double carriageway (median),Flat Road,No junction,Earth roads,Dry,Moderate lighting,Clear,Collision with roadside objects,2,1,Other,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 14:00:00,Saturday,31-50,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Poor lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 19:30:00,Tuesday,31-50,Male,Primary education,Employee,5-10yr,Large Truck,Owner,Old Vehicle,Commercial areas,Undivided Two way,Flat Road,Crossing,Asphalt,Dry,Moderate lighting,Clear,Collision with roadside objects,2,1,Moving forward,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 16:24:00,Tuesday,31-50,Male,Secondary education,Owner,Above 10yr,Car,Owner,Old Vehicle,Commercial areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,2,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 20:39:00,Saturday,31-50,Male,Secondary education,Owner,1-2yr,Car,Owner,Moderate Vehicle,Public service areas,One way,Flat Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,3,2,Moving forward,Pedestrian,Female,Under 18,3,Driver,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Human Error,Malam
1900-01-01 08:48:00,Friday,Over 51,Male,Secondary education,Employee,Below 1yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Moving backward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 12:59:00,Tuesday,Over 51,Male,Secondary education,Employee,Below 1yr,Medium Truck,Governmental,Moderate Vehicle,Commercial areas,other,Flat Road,Crossing,Earth roads,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Unemployed,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 10:31:00,Sunday,31-50,Male,Secondary education,Employee,Above 10yr,Large Truck,Owner,Old Vehicle,Commercial areas,Undivided Two way,Flat Road,Other,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 14:43:00,Friday,Over 51,Male,Secondary education,Employee,1-2yr,Large Bus,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 07:46:00,Thursday,18-30,Male,Secondary education,Employee,Below 1yr,Large Truck,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Unknown,Earth roads,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 08:15:00,Friday,Under 18,Male,Secondary education,Owner,5-10yr,Car,Owner,New Vehicle,Other,Undivided Two way,Flat Road,No junction,Asphalt,Wet or damp,Good lighting,Clear,Vehicle with vehicle collision,2,2,Turnover,Passenger,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
