Time,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity
Morning,Lansia,Male,Employee,5-10yr,Other,Owner,Other,One Way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Turning,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,1-2yr,Commercial Vehicle,Owner,Public,Other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,5-10yr,Public Transport,Governmental,Other,Other,Steep grade downward with mountainous terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,1,Moving forward,3,Distance & Priority Violation,Fatal injury
Afternoon,Lansia,Male,Employee,5-10yr,Private Vehicle,Governmental,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Lansia,Male,Employee,2-5yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving forward,3,Moving Backward,Slight Injury
Afternoon,Dewasa,Male,Employee,1-2yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving forward,3,Reckless Driving,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Public Transport,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,DUI (Drugs/Alcohol),Slight Injury
Morning,Dewasa,Male,Employee,Below 1yr,Other,Governmental,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Morning,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Stationary Object Collision,2,4,Moving forward,3,Distance & Priority Violation,Fatal injury
Late Night,Dewasa,Male,Owner,5-10yr,Commercial Vehicle,Owner,Other,One Way,Escarpments,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Stationary Object Collision,2,4,Exiting,3,Unsafe Lane Change,Fatal injury
Late Night,Dewasa,Male,Owner,5-10yr,Other,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,4,Exiting,3,Unsafe Driving,Fatal injury
Late Night,Lansia,Male,Employee,5-10yr,Commercial Vehicle,Owner,Public,One Way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Pedestrian Collision,2,4,Exiting,3,Moving Backward,Fatal injury
Late Night,Lansia,Male,Employee,2-5yr,Non-Motorized,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving backward,3,Distance & Priority Violation,Slight Injury
Late Night,Lansia,Male,Employee,5-10yr,Private Vehicle,Owner,Other,One Way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Late Night,Lansia,Female,Employee,Above 10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Late Night,Lansia,Male,Employee,Below 1yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,1,Stopping,3,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Other,Governmental,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Afternoon,Lansia,Male,Employee,2-5yr,Commercial Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Stationary Object Collision,2,1,Other,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Afternoon,Unknwon,Male,Employee,1-2yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Driving,Slight Injury
Afternoon,Unknwon,Male,Employee,2-5yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Gravel roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,2,Moving forward,3,Reckless Driving,Slight Injury
Afternoon,Remaja,Male,Employee,2-5yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Gravel roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,2,Moving forward,3,Reckless Driving,Slight Injury
Afternoon,Dewasa,Male,Employee,Above 10yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Morning,Dewasa,Male,Employee,Below 1yr,Public Transport,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,3,Reckless Driving,Slight Injury
Morning,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Male,Employee,Above 10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Late Night,Lansia,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Turning,3,Reckless Driving,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,DUI (Drugs/Alcohol),Slight Injury
Late Night,Dewasa,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Other,Divided Road (Median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Reckless Driving,Serious Injury
Evening,Lansia,Male,Employee,1-2yr,Other,Governmental,Other,Other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Other,1,1,Exiting,3,Distance & Priority Violation,Slight Injury
Evening,Lansia,Male,Employee,2-5yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,3,Reckless Driving,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Exiting,3,Unsafe Driving,Slight Injury
Afternoon,Dewasa,Male,Other,5-10yr,Commercial Vehicle,Owner,Other,One Way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Reckless Driving,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Public Transport,Owner,Other,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Owner,5-10yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Morning,Dewasa,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,2,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,4,Moving backward,2,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Other,Below 1yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,4,Exiting,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,Above 10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Stationary Object Collision,2,4,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Owner,5-10yr,,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Stationary Object Collision,2,4,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Owner,5-10yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Moving Backward,Serious Injury
Afternoon,Dewasa,Male,Employee,2-5yr,Public Transport,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Stationary Object Collision,1,1,Moving backward,3,Distance & Priority Violation,Serious Injury
Afternoon,Dewasa,Male,Employee,2-5yr,Public Transport,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Stationary Object Collision,1,1,Moving forward,3,Unsafe Lane Change,Serious Injury
Morning,Dewasa,Male,Employee,5-10yr,Other,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Stopping,3,Unsafe Lane Change,Slight Injury
Morning,Dewasa,Male,Owner,2-5yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Unknwon,Male,Employee,5-10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Moving Backward,Slight Injury
Morning,Dewasa,Male,Employee,2-5yr,Public Transport,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Public Transport,Owner,Other,Divided Road (Median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Other,Other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,3,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Male,Employee,1-2yr,Other,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving backward,3,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Distance & Priority Violation,Serious Injury
Late Night,Dewasa,Male,Owner,1-2yr,Commercial Vehicle,Owner,Urban,One Way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Stopping,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,3,Improper Parking/Exit,Slight Injury
Evening,Dewasa,Male,Employee,1-2yr,Private Vehicle,Governmental,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Distance & Priority Violation,Serious Injury
Evening,Dewasa,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Public,Divided Road (Median),Tangent road with flat terrain,Y Shape,Other,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Unknwon,Male,Employee,2-5yr,,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Unknwon,Male,Employee,2-5yr,Other,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Exiting,3,Reckless Driving,Serious Injury
Late Night,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Urban,Other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Female,Employee,2-5yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Female,Employee,2-5yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,2,Reckless Driving,Slight Injury
Afternoon,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,2,1,Moving backward,3,Reckless Driving,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,2,1,Turning,3,Moving Backward,Slight Injury
Late Night,Dewasa,Male,Employee,2-5yr,Other,Organization,Urban,Other,Tangent road with mountainous terrain and,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,2,Distance & Priority Violation,Serious Injury
Afternoon,Dewasa,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Serious Injury
Afternoon,Dewasa,Male,Employee,Above 10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Reckless Driving,Serious Injury
Afternoon,Dewasa,Male,Employee,Above 10yr,Other,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Serious Injury
Evening,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Exiting,3,Moving Backward,Serious Injury
Evening,Dewasa,Male,Owner,2-5yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Serious Injury
Afternoon,Dewasa,Male,Employee,1-2yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,Unsafe Driving,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Male,Employee,5-10yr,,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,2,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Female,Employee,5-10yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Owner,5-10yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Lansia,Male,Other,Above 10yr,Special Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,DUI (Drugs/Alcohol),Slight Injury
Evening,Dewasa,Male,Employee,Above 10yr,,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Female,Employee,1-2yr,Private Vehicle,Governmental,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Male,Owner,5-10yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Moving Backward,Slight Injury
Afternoon,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Other,One Way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Serious Injury
Afternoon,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Turning,3,Moving Backward,Serious Injury
Afternoon,Lansia,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Serious Injury
Afternoon,Lansia,Male,Employee,5-10yr,Commercial Vehicle,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Driving,Serious Injury
Morning,Dewasa,Female,Employee,5-10yr,Private Vehicle,Organization,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,3,2,Moving forward,3,Unsafe Driving,Serious Injury
Evening,Dewasa,Female,Employee,1-2yr,Commercial Vehicle,Organization,Other,Other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Stationary Object Collision,3,2,Moving forward,3,Moving Backward,Serious Injury
Late Night,Dewasa,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Stationary Object Collision,3,2,Moving backward,3,Moving Backward,Serious Injury
Late Night,Dewasa,Female,Employee,5-10yr,Commercial Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Reckless Driving,Serious Injury
Morning,Dewasa,Female,Employee,2-5yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Turning,3,Reckless Driving,Slight Injury
Morning,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Male,Employee,5-10yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,DUI (Drugs/Alcohol),Slight Injury
Evening,Dewasa,Male,Employee,1-2yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Public Transport,Owner,Public,One Way,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Darkness - lights unlit,Normal,Self-accident,2,1,Moving forward,3,Moving Backward,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Public Transport,Owner,Other,Other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Exiting,3,Unsafe Lane Change,Slight Injury
Afternoon,Lansia,Male,Employee,Above 10yr,Public Transport,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Pedestrian Collision,2,1,Moving backward,3,Distance & Priority Violation,Slight Injury
Evening,Lansia,Male,Employee,2-5yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,2,Moving forward,3,Speeding,Slight Injury
Evening,Lansia,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,One Way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,2,Turning,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Private Vehicle,Owner,Public,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Serious Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Governmental,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Serious Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Other,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,1,1,Moving forward,3,Reckless Driving,Serious Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,Distance & Priority Violation,Slight Injury
Afternoon,Lansia,Male,Employee,1-2yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Male,Owner,5-10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving forward,2,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Self-accident,2,3,Turning,3,Unsafe Lane Change,Serious Injury
Evening,Dewasa,Male,Owner,5-10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,3,Turning,3,Reckless Driving,Serious Injury
Late Night,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Pedestrian Collision,2,3,Moving forward,3,Unsafe Lane Change,Serious Injury
Evening,Dewasa,Female,Employee,Above 10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,3,Exiting,3,Distance & Priority Violation,Serious Injury
Evening,Dewasa,Male,Employee,Below 1yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Exiting,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,Below 1yr,Other,Owner,Public,Divided Road (Median),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Pedestrian Collision,1,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Owner,5-10yr,Other,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,5-10yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Male,Employee,No Licence,Other,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Exiting,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Male,Employee,Above 10yr,Public Transport,Governmental,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Exiting,3,Distance & Priority Violation,Slight Injury
